"Employee Name","Shipper Name","Total Shipments"
"Michael Suyama","Speedy Express","7"
"Janet Leverling","Speedy Express","7"
"Nancy Davolio","Speedy Express","8"
"Margaret Peacock","Speedy Express","12"
"Andrew Fuller","Speedy Express","7"
"Steven Buchanan","Speedy Express","3"
"Laura Callahan","Speedy Express","5"
"Anne Dodsworth","Speedy Express","2"
"Robert King","Speedy Express","3"
"Margaret Peacock","United Package","17"
"Janet Leverling","United Package","14"
"Steven Buchanan","United Package","3"
"Michael Suyama","United Package","8"
"Laura Callahan","United Package","11"
"Nancy Davolio","United Package","8"
"Andrew Fuller","United Package","9"
"Robert King","United Package","4"
"Steven Buchanan","Federal Shipping","5"
"Anne Dodsworth","Federal Shipping","4"
"Margaret Peacock","Federal Shipping","11"
"Laura Callahan","Federal Shipping","11"
"Michael Suyama","Federal Shipping","3"
"Janet Leverling","Federal Shipping","10"
"Andrew Fuller","Federal Shipping","4"
"Robert King","Federal Shipping","7"
"Nancy Davolio","Federal Shipping","13"
